,count,mean,std,min,25%,50%,75%,max
Unnamed: 0,10000.0,5000.0,2890.0,0.0,2500.0,5000.0,7500.0,10000.0
t,10000.0,120.0,1.71,114.99999999999999,118.0,120.0,121.0,123.0
p,10000.0,1.96,0.10300000000000001,1.69,1.89,1.98,2.04,2.17
ph,10000.0,5.4,0.11499999999999999,5.2,5.3,5.4,5.5,5.6
q,10000.0,127.0,25.0,60.4,109.00000000000001,129.0,146.0,180.0
s,10000.0,170.0,3.09,164.0,168.0,170.0,172.0,178.0
ewe,10000.0,0.35000000000000003,5.959999999999999e-14,0.35000000000000003,0.35000000000000003,0.35000000000000003,0.35000000000000003,0.35000000000000003
na,10000.0,45900.0,4019.9999999999995,35200.0,43000.0,46400.0,49000.0,53900.0
k,10000.0,2890.0,126.0,2580.0,2800.0,2890.0,2980.0,3190.0
ca,10000.0,9050.0,871.0000000000001,6810.0,8430.0,9120.0,9690.0,11000.0
ba,10000.0,15.8,0.588,14.2,15.3,15.8,16.200000000000003,17.0
mg,10000.0,562.0,47.300000000000004,438.0,528.0,567.0,598.0,659.0
mn,10000.0,9.3,1.68,5.43,8.06,9.2,10.5,13.600000000000001
fe,10000.0,646.0,75.7,448.00000000000006,594.0,655.0,703.0,808.0
sr,10000.0,422.0,11.0,396.0,413.99999999999994,421.0,430.0,449.0
cd,10000.0,0.013200000000000002,1.2200000000000001e-15,0.013200000000000002,0.013200000000000002,0.013200000000000002,0.013200000000000002,0.013200000000000002
ni,10000.0,0.0035,1.28e-16,0.0035,0.0035,0.0035,0.0035,0.0035
cr,10000.0,0.0936,1.28e-14,0.0936,0.0936,0.0936,0.0936,0.0936
nh4,10000.0,250.0,7.61,229.99999999999997,244.0,250.0,254.99999999999997,267.0
pb,10000.0,0.145,0.0209,0.101,0.129,0.142,0.16000000000000003,0.2
zn,10000.0,4.14,0.718,3.09,3.53,4.02,4.66,6.13
cu,10000.0,0.0202,0.0035,0.015,0.0172,0.0196,0.0226,0.0298
al,10000.0,1.9,0.08199999999999999,1.7,1.84,1.89,1.96,2.1
si,10000.0,45.5,2.22,40.099999999999994,43.9,45.5,47.0,50.8
cl,10000.0,102000.0,2930.0,94700.0,99900.0,102000.0,104000.0,109000.00000000001
co3,10000.0,15.0,0.0,15.0,15.0,15.0,15.0,15.0
hco3,10000.0,569.0,224.00000000000003,34.2,411.00000000000006,561.0,731.0,1130.0
so4,10000.0,310.0,29.1,238.0,289.0,311.0,331.0,379.0
br,10000.0,143.0,3.85,134.0,140.0,143.0,146.0,153.0
f,10000.0,4.34,1.41,0.902,3.33,4.36,5.35,7.73
E3,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E4,10000.0,2.24,0.504,0.8140000000000001,1.88,2.27,2.61,3.49
H4,10000.0,6.8,1.26e-12,6.8,6.8,6.8,6.8,6.8
E5,10000.0,-0.7000000000000001,0.844,-13.0,-0.8560000000000001,-0.438,-0.21000000000000002,-0.007980000000000001
ba_5,10000.0,2.86,1.99,0.00031600000000000004,1.24,2.5,4.2,9.31
al_5,10000.0,1.81,0.221,0.038700000000000005,1.77,1.85,1.92,2.09
ni_5,10000.0,0.00175,0.000746,0.000458,0.00111,0.00174,0.00239,0.00304
sr_5,10000.0,101.0,74.4,0.0035299999999999997,41.4,83.69999999999999,147.0,343.0
zn_5,10000.0,2.5,0.9650000000000001,0.799,1.72,2.43,3.16,5.8
mn_5,10000.0,6.93,1.58,3.17,5.76,6.8,7.96,12.2
cu_5,10000.0,0.0101,0.00609,1.2499999999999999e-06,0.00497,0.00982,0.014499999999999999,0.0285
pb_5,10000.0,0.0723,0.0438,1.0100000000000002e-05,0.0352,0.0705,0.10700000000000001,0.194
cd_5,10000.0,0.00655,0.00382,9.52e-07,0.00326,0.00656,0.00982,0.013200000000000002
E6,10000.0,0.558,0.11599999999999999,0.251,0.47800000000000004,0.5700000000000001,0.643,0.8260000000000001
E,10000.0,2.1,0.9630000000000001,-9.8,1.64,2.21,2.73,4.13
